# 柱的正对照格 —— 判读者判真 + 本人逐格看图复核（col4 批，2026-09-16）。
# 只记图纸与页面点坐标，出批次时原样重渲染；裁图是客户图纸的局部，不进仓库。
drawing_id	mark_pt	crop_pt	source	note	claim
8eb82252-5dbf-4c2b-9f13-2e28e717fa52	1445.33,878.75,1469.79,903.13	1382.40,815.80,1532.70,966.10	col4:L9AK	墙交接与轴线交点处的灰色近方块
7a7a01a4-0d23-40e2-b98d-6b875bab7c81	1595.03,1335.38,1605.17,1352.25	1529.20,1272.90,1671.00,1414.70	col4:YHEE	墙端轴线交点的灰色矩形截面
8eb82252-5dbf-4c2b-9f13-2e28e717fa52	2333.09,1235.53,2349.87,1263.24	2266.30,1174.20,2416.60,1324.50	col4:VL33	横轴线上独立灰色矩形，带外围轮廓
ddbeab1f-a2f3-4945-aa21-162474617514	1822.51,739.63,1839.23,763.75	1760.00,680.80,1901.70,822.60	col4:JLL9	轴线交点的截面内绘有工字形钢芯（柱脚详图）
419ebf3e-03bc-45a4-8030-894810a3abac	1071.75,1012.59,1078.21,1022.85	1004.10,946.90,1145.80,1088.60	col4:Y4KA	卫生间门旁的实心黑色矩形柱块
419ebf3e-03bc-45a4-8030-894810a3abac	640.83,937.69,647.29,947.96	573.20,872.00,714.90,1013.70	col4:HKM4	外墙边独立黑色矩形，与上方柱块对应
95f0fe7b-f066-439b-a7bd-89568c83450a	2572.01,1249.09,2588.79,1276.80	2505.30,1187.80,2655.50,1338.10	col4:WFXU	横轴线上独立灰色矩形截面，带外围细线
daa18df0-8f45-47bf-9e8e-26b01668f61e	2094.48,367.89,2111.16,387.55	2061.50,336.40,2144.10,419.00	col4:E3VU	沿外边线排列的倾斜实心黑色近方块
0ca8f4ae-68a7-478c-833b-144b78e30e92	694.07,1112.41,715.26,1133.65	657.40,1075.80,751.90,1170.30	col4:V3L3	边界交接处旋转成菱形的灰色方块
53955b6e-a29e-43fa-b180-70e538533f24	979.92,1869.91,998.27,1888.53	941.90,1832.00,1036.30,1926.50	col4:4MYE	带对角叉的灰色方块，图上另注「柱中心点」
f9467861-1908-45c5-a374-d819f1fed223	2903.95,901.88,2917.98,915.85	2840.10,838.00,2981.80,979.70	col4:99RN	横竖轴线交点的灰色方形截面
