code	group	stratum	drawing_id	drawing_candidates	sheet	dup_of	capped	crop_pt	title
HUYU	kept	歌剧院·structure	9623c010-9d5f-458f-8004-9bd78641d76c	140	S1		0	1216.4,1887.3,1310.8,1981.8	结构-竣工图--南区（大、中歌剧厅）一层以下墙柱地下一层~一层平面分图（二）
WCUL	kept	第二工程·architecture	f90543c4-e998-45cc-af41-14cf9d612cbb	426	S1		0	125.7,98.4,267.4,240.2	首层平面图
L4JP	kept	歌剧院·architecture	1f49031a-1349-4017-9f25-73a36fd56abe	193	S1		0	1971.6,829.0,2113.4,970.7	建筑-竣工图--二层机房吸声平面图
EVUL	blank	第二工程·decoration	9fb7b30f-b342-4945-9f82-3d1043b72bdc	9	S1		0	1281.1,188.7,1422.9,330.4	卫生间平面放大图
X3WK	kept	第二工程·general	e3875c84-33b6-46f6-b4ef-3826124c3a78	234	S1		0	1976.5,823.4,2059.2,906.1	灯具放大平面图三
YVP9	kept	歌剧院·structure	fc110497-0722-49c2-a53e-677fb98bb441	55	S1		0	1696.5,663.2,1838.2,805.0	结构-竣工图--南区（大、中歌剧厅）二~三层中歌剧厅墙配筋平面图
NXPW	kept	第二工程·decoration	7003016d-7753-4ece-a2e0-2ca03c0c43dd	13	S1		0	1488.1,987.7,1927.0,1426.6	四层至七层西卫生间放大平面图、平顶图
YJ34	kept	歌剧院·structure	21390f83-adca-4c15-a6be-9b93cab735a0	156	S1		0	2586.1,60.1,2727.9,201.8	结构-竣工图--南区（大、中歌剧厅）地下一层夹层结构图（二）
YJVW	kept	歌剧院·structure	56e35bb1-ae70-4778-b7d5-23fa9dcd5bb9	345	S1		0	627.3,553.3,769.0,695.0	结构-竣工图--南区（大、中歌剧厅）地下二层夹层（-7.3m）结构图
4UN9	kept	第二工程·general	2d548e18-bbb2-4602-8f79-88bb97ec57d3	108	S1		0	1499.7,981.3,1641.4,1123.1	下木配置平面图
WCVM	dup	歌剧院·architecture	c89149bf-fe5d-4183-802b-6b63b6993969	246	S2	W4RF	0	1548.5,187.8,1690.2,329.5	建筑-竣工图--一层机房吸声平面图
